Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
抽奖,Lottery,抽奖,,,,,,宝くじ,운
换装商店,Dress Up Shop,换装商店,,,,,,ドレスアップショップ,드레스 업 샵
皮肤技能,Skin Skills,皮肤技能,,,,,,スキンスキル,스킨 스킬
免费领枪,Free Gun,免费领枪,,,,,,フリーガン,무료 총
任务,TASKS,任务,,,,,,タスク,일
等级：Lv.999,Level: Lv.999,等级：Lv.999,,,,,,レベル: Lv.999,레벨: Lv.999
复活倒计时,Respawn Countdown,复活倒计时,,,,,,復活へのカウントダウン,부활을 향한 카운트다운
3,3,3,,,,,,3,3
复活后2秒内无敌,Invincible for 2s after respawn,复活后2秒内无敌,,,,,,復活後2秒以内に無敵になる,부활 후 2초 이내에 무적 상태가 됩니다.
开火灵敏度,Fire Sensitivity,开火灵敏度,,,,,,発砲感度,발사 감도
低,Low,低,,,,,,低,낮은
中,Medium,中,,,,,,中,가운데
高,High,高,,,,,,高,높은
控制灵敏度,Control sensitivity,控制灵敏度,,,,,,コントロール感度,제어 감도
背景音乐,Music,背景音乐,,,,,,バックグラウンドミュージック,배경 음악
6.6,6.6,6.6,,,,,,6.6,6.6
激光三连击,Laser Triple Kill,激光三连击,,,,,,レーザー・トリプル・ストライク,레이저 트리플 스트라이크
无敌时间,Invincibility Duration,无敌时间,,,,,,無敵時間,무적의 시간
九连杀！超越神啦！,Nine Kills! Beyond God!,九连杀！超越神啦！,,,,,,9連続キル！神を超えて！,9연속 킬! 신을 넘어서!
你是谁你是谁你是,Who are you? Who are you?,你是谁你是谁你是,,,,,,あなたは誰ですか、あなたは誰ですか、あなたは誰ですか,당신은 누구입니까? 당신은 누구입니까?
 击杀 , Slay , 击杀 ,,,,,, 仕留める , 죽이다(사람 또는 동물) 
已拥有,Owned,已拥有,,,,,,すでに所有しています,이미 소유함
QBZ95式突击步枪,QBZ95,QBZ95式突击步枪,,,,,,QBZ 95アサルト・ライフル,QBZ 95 돌격 소총
18888金\n币抽奖1次,18888 Gold\nCoin Lottery 1 time,18888金\n币抽奖1次,,,,,,18888 金貨抽選会 1回,18888 골드 \n 코인 럭키 드로우 1회
2个钻石抽奖1次,1 out of 2 diamond draws,2个钻石抽奖1次,,,,,,2ダイアモンドで1ドロー,무승부 1회에 다이아몬드 2개
已拥有的打开背包使用,Owned open backpack for use,已拥有的打开背包使用,,,,,,バックパックを開け、すでに持っている場合はそれを使う。,이미 가지고 있다면 백팩을 열어 사용하세요.
MetaWorld,MetaWorld,MetaWorld,,,,,,MetaWorld,MetaWorld
输入你的队名,Enter your team name,输入你的队名,,,,,,チーム名を入力,팀 이름 입력
确定,Confirm,确定,,,,,,もちろん,확신하는
Gun,Gun,Gun,,,,,,Gun,Gun
0S,0S,0S,,,,,,0S,0S
登陆游戏 (1/1),Log in (1/1),登陆游戏 (1/1),,,,,,ゲームにログイン(1/1),게임에 로그인(1/1)
500,500,500,,,,,,500,500
50000,50000,50000,,,,,,50000,50000
领取奖励,Claim,领取奖励,,,,,,報酬を請求する,보상 청구
未完成,Incomplete,未完成,,,,,,未完了,완료되지 않음
每日任务,Daily Quest,每日任务,,,,,,日々のタスク,일일 업무
剩余: 15小时,Remaining: 15h,剩余: 15小时,,,,,,残り： 15時間,남은 금액: 15시간
任务已全部完成，等待刷新...,Please wait for the tasks to be refreshed.,任务已全部完成，等待刷新...,,,,,,すべてのタスクが完了し、更新を待っています...,모든 작업이 완료되었습니다. 새로고침을 기다리는 중입니다...
每周任务,Weekly,每周任务,,,,,,毎週のタスク,주간 작업
爱玩游戏的小胖子,Game-playing little fat guy.,爱玩游戏的小胖子,,,,,,ゲームが大好きなデブ男,게임을 좋아하는 뚱뚱한 남자
爱玩游戏的小胖子队伍,Game-pro,爱玩游戏的小胖子队伍,,,,,,ゲームが大好きな太った子供たちのチーム,게임을 좋아하는 뚱뚱한 아이들로 구성된 팀
人数：2,Members: 2,人数：2,,,,,,人数：2,인원 수: 2
改名,Rename,改名,,,,,,名前を変更する,이름 변경
加入,Join,加入,,,,,,加入,가입하다
100,100,100,,,,,,100,100
999,999,999,,,,,,999,999
超凡大师 Lv.999,Master Lv.999,超凡大师 Lv.999,,,,,,超越マスター Lv.999,초월 마스터 레벨.999
全服排行榜,Global Leaderboard,全服排行榜,,,,,,サーバー全体のランキング,서버 전체 순위
排名,Ranking,排名,,,,,,ランキング,순위
名字,Name,名字,,,,,,名前,이름
等级,Level,等级,,,,,,学年,등급
击杀,Slay,击杀,,,,,,殺す,죽이다
你所在房间内的排行榜。点击右侧排行模式按钮会刷新排行榜模式。,Leaderboard in your room. Tap the Rank Mode button on the right to refresh the leaderboard mode.,你所在房间内的排行榜。点击右侧排行模式按钮会刷新排行榜模式。,,,,,,あなたがいる部屋のリーダーボード。右側のランキングモードボタンをクリックするとランキングモードが更新されます。,현재 있는 방의 순위표입니다. 오른쪽의 순위 모드 버튼을 클릭하면 순위 모드가 새로고침됩니다.
切换房间排行榜,Switch room leaderboard,切换房间排行榜,,,,,,スイッチルームランキング,방 순위 전환
切换全服排行榜,Switch Global Leaderboard,切换全服排行榜,,,,,,サーバー全体のランキング リストに切り替える,서버 전체 순위 목록으로 전환
M4A1卡宾枪,M4A1 Carbine,M4A1卡宾枪,,,,,,M4A1カービン,M4A1 카빈총
幽灵激光枪,Ghost Laser Gun,幽灵激光枪,,,,,,ゴースト・レーザー銃,고스트 레이저 건
激光巴雷特,Laser Barrett,激光巴雷特,,,,,,レーザー・バレット,레이저 배럿
激光烈火枪,Laser musket,激光烈火枪,,,,,,レーザーブラスター,레이저 블래스터
激光冰雷枪,Laser Thunder Gun,激光冰雷枪,,,,,,レーザーアイスマインガン,레이저 얼음 지뢰 총
赛博激光巴雷特,Cyber Laser Barrett,赛博激光巴雷特,,,,,,サイバーレーザー・バレット,사이버레이저 배럿
鸡枪,Chicken Gun,鸡枪,,,,,,ごきぶり,바퀴벌레(무기)
烟花枪,Fireworks Gun,烟花枪,,,,,,花火銃,불꽃놀이 총
AK47自动步枪,AK47 Automatic Rifle,AK47自动步枪,,,,,,AK47自動小銃,AK47 자동 소총
SCAR突击步枪,SCAR Assault Rifle,SCAR突击步枪,,,,,,SCARアサルトライフル,SCAR 돌격 소총
突击步枪,Assault Rifle,突击步枪,,,,,,アサルトライフル,돌격 소총
MP5冲锋枪,MP5 SMG,MP5冲锋枪,,,,,,MP5サブマシンガン,MP5 기관단총
MP7冲锋枪,MP7 SMG,MP7冲锋枪,,,,,,MP7サブマシンガン,MP7 기관단총
P90冲锋枪,P90,P90冲锋枪,,,,,,P90サブマシンガン,P90 기관단총
M249机枪,M249 Machine Gun,M249机枪,,,,,,M249機関銃,M249 기관총
到达目标点,Reached the target point,到达目标点,,,,,,目標地点まで行く。,목표 지점으로 이동합니다.
激光幽灵枪,Laser Ghost Gun,激光幽灵枪,,,,,,レーザーゴーストガン,레이저 유령 총
赛博少年,Cyber Boy,赛博少年,,,,,,サイバー少年,사이버 소년
时装男青年,Costume Boy,时装男青年,,,,,,おしゃれな若い男性,세련된 젊은이들
机甲少女,Mecha Girl,机甲少女,,,,,,メカガール,메카 소녀
纳米机甲女性,Nano Mecha Female,纳米机甲女性,,,,,,ナノメカメス,나노메카 암컷
赛博少女,Cyber Girl,赛博少女,,,,,,サイバーガール,사이버 소녀
眼镜未来战士,Glasses Warrior,眼镜未来战士,,,,,,メガネの未来の兵士,안경 미래 군인
紫色机甲,Purple Mecha,紫色机甲,,,,,,パープルメカ,보라색 메카
黑人男纳米机甲,Black Male Nano Mecha,黑人男纳米机甲,,,,,,黒人男性ナノメカ,흑인 남성 나노메카
白人男纳米机甲,White Male Nano Mech Armor,白人男纳米机甲,,,,,,白人男性のナノメカ,백인 남성 나노메카
"[""动画节点"",""{\\""guid\\"":\\""135369\\"",\\""totalTime\\"":1.63,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.8}"",""特效节点"",""{\\""guid\\"":\\""92838\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":20,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":0.5,\\""y\\"":0.5,\\""z\\"":0.5},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":30,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":10,\\""lenth\\"":60,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""135369\\"",\\""totalTime\\"":1.63,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.8}"",""特效节点"",""{\\""guid\\"":\\""92838\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":20,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":0.5,\\""y\\"":0.5,\\""z\\"":0.5},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":30,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":10,\\""lenth\\"":60,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,,,,,,
蓄力一拳,Charge Punch,蓄力一拳,,,,,,パワーパンチだ。,파워 펀치.
"[""动画节点"",""{\\""guid\\"":\\""135373\\"",\\""totalTime\\"":1.4,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.3}"",""特效节点"",""{\\""guid\\"":\\""168957\\"",\\""time\\"":1,\\""distance\\"":40,\\""zOffset\\"":10,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":0.5,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":-90},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":30,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":10,\\""lenth\\"":60,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""135373\\"",\\""totalTime\\"":1.4,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.3}"",""特效节点"",""{\\""guid\\"":\\""168957\\"",\\""time\\"":1,\\""distance\\"":40,\\""zOffset\\"":10,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":0.5,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":-90},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":30,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":10,\\""lenth\\"":60,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,,,,,,
大脚踹,Big Tread,大脚踹,,,,,,ビッグキック,큰 킥
"[""动画节点"",""{\\""guid\\"":\\""129180\\"",\\""totalTime\\"":1,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""位移节点"",""{\\""lenth\\"":300,\\""zOffset\\"":0,\\""yaw\\"":0,\\""time\\"":0.5,\\""checkCount\\"":6}"",""方盒判定"",""{\\""distance\\"":50,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":-50,\\""lenth\\"":300,\\""width\\"":50,\\""height\\"":50,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""129180\\"",\\""totalTime\\"":1,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""位移节点"",""{\\""lenth\\"":300,\\""zOffset\\"":0,\\""yaw\\"":0,\\""time\\"":0.5,\\""checkCount\\"":6}"",""方盒判定"",""{\\""distance\\"":50,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":-50,\\""lenth\\"":300,\\""width\\"":50,\\""height\\"":50,\\""damage\\"":100}""]",,,,,,,
滑铲,Slide,滑铲,,,,,,スライドショベル,슬라이드 삽
"[""动画节点"",""{\\""guid\\"":\\""119945\\"",\\""totalTime\\"":0.93,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.3}"",""特效节点"",""{\\""guid\\"":\\""84962\\"",\\""time\\"":-0.55,\\""distance\\"":0,\\""zOffset\\"":0,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""球圆判定"",""{\\""distance\\"":0,\\""yaw\\"":0,\\""zOffset\\"":0,\\""radius\\"":150,\\""height\\"":20,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""119945\\"",\\""totalTime\\"":0.93,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.3}"",""特效节点"",""{\\""guid\\"":\\""84962\\"",\\""time\\"":-0.55,\\""distance\\"":0,\\""zOffset\\"":0,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""球圆判定"",""{\\""distance\\"":0,\\""yaw\\"":0,\\""zOffset\\"":0,\\""radius\\"":150,\\""height\\"":20,\\""damage\\"":100}""]",,,,,,,
回旋踢,Spin Kick,回旋踢,,,,,,まわしげり,라운드 하우스 킥
"[""动画节点"",""{\\""guid\\"":\\""117407\\"",\\""totalTime\\"":2.5,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.2}"",""位移节点"",""{\\""lenth\\"":250,\\""zOffset\\"":50,\\""yaw\\"":0,\\""time\\"":0.6,\\""checkCount\\"":6}"",""延迟节点"",""{\\""delayTime\\"":0.8}"",""特效节点"",""{\\""guid\\"":\\""164528\\"",\\""time\\"":1,\\""distance\\"":50,\\""zOffset\\"":-80,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""球圆判定"",""{\\""distance\\"":50,\\""yaw\\"":0,\\""zOffset\\"":-80,\\""radius\\"":100,\\""height\\"":20,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""117407\\"",\\""totalTime\\"":2.5,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.2}"",""位移节点"",""{\\""lenth\\"":250,\\""zOffset\\"":50,\\""yaw\\"":0,\\""time\\"":0.6,\\""checkCount\\"":6}"",""延迟节点"",""{\\""delayTime\\"":0.8}"",""特效节点"",""{\\""guid\\"":\\""164528\\"",\\""time\\"":1,\\""distance\\"":50,\\""zOffset\\"":-80,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""球圆判定"",""{\\""distance\\"":50,\\""yaw\\"":0,\\""zOffset\\"":-80,\\""radius\\"":100,\\""height\\"":20,\\""damage\\"":100}""]",,,,,,,
藤曼突刺,Vine Man Thorn,藤曼突刺,,,,,,バインマンズ・スパイク,비너먼의 스파이크
"[""动画节点"",""{\\""guid\\"":\\""162137\\"",\\""totalTime\\"":1.8,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""特效节点"",""{\\""guid\\"":\\""163348\\"",\\""time\\"":-1.1,\\""distance\\"":-50,\\""zOffset\\"":100,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":2,\\""y\\"":2,\\""z\\"":2},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":23}"",""延迟节点"",""{\\""delayTime\\"":1}"",""动画节点"",""{\\""guid\\"":\\""29728\\"",\\""totalTime\\"":2.33,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.5}"",""特效节点"",""{\\""guid\\"":\\""163349\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":20,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":100,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":20,\\""lenth\\"":1000,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""162137\\"",\\""totalTime\\"":1.8,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""特效节点"",""{\\""guid\\"":\\""163348\\"",\\""time\\"":-1.1,\\""distance\\"":-50,\\""zOffset\\"":100,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":2,\\""y\\"":2,\\""z\\"":2},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":23}"",""延迟节点"",""{\\""delayTime\\"":1}"",""动画节点"",""{\\""guid\\"":\\""29728\\"",\\""totalTime\\"":2.33,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.5}"",""特效节点"",""{\\""guid\\"":\\""163349\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":20,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":100,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":20,\\""lenth\\"":1000,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,,,,,,
蓄力红激光,Charge Red Laser,蓄力红激光,,,,,,赤色レーザーを発射,발사 준비 완료된 빨간색 레이저
"[""动画节点"",""{\\""guid\\"":\\""162137\\"",\\""totalTime\\"":1.8,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""特效节点"",""{\\""guid\\"":\\""163346\\"",\\""time\\"":-1.1,\\""distance\\"":-50,\\""zOffset\\"":100,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":2,\\""y\\"":2,\\""z\\"":2},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":23}"",""延迟节点"",""{\\""delayTime\\"":1}"",""动画节点"",""{\\""guid\\"":\\""29728\\"",\\""totalTime\\"":2.33,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.5}"",""特效节点"",""{\\""guid\\"":\\""163347\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":20,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":100,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":20,\\""lenth\\"":1000,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""162137\\"",\\""totalTime\\"":1.8,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""特效节点"",""{\\""guid\\"":\\""163346\\"",\\""time\\"":-1.1,\\""distance\\"":-50,\\""zOffset\\"":100,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":2,\\""y\\"":2,\\""z\\"":2},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":23}"",""延迟节点"",""{\\""delayTime\\"":1}"",""动画节点"",""{\\""guid\\"":\\""29728\\"",\\""totalTime\\"":2.33,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.5}"",""特效节点"",""{\\""guid\\"":\\""163347\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":20,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":100,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":20,\\""lenth\\"":1000,\\""width\\"":30,\\""height\\"":30,\\""damage\\"":100}""]",,,,,,,
蓄力白激光,Charge White Laser,蓄力白激光,,,,,,白色レーザー,화이트 레이저가 준비된 액션
"[""动画节点"",""{\\""guid\\"":\\""117528\\"",\\""totalTime\\"":1.83,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":1}"",""特效节点"",""{\\""guid\\"":\\""101407\\"",\\""time\\"":1,\\""distance\\"":20,\\""zOffset\\"":-90,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":50,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":-80,\\""lenth\\"":450,\\""width\\"":100,\\""height\\"":50,\\""damage\\"":100}""]",,"[""动画节点"",""{\\""guid\\"":\\""117528\\"",\\""totalTime\\"":1.83,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":1}"",""特效节点"",""{\\""guid\\"":\\""101407\\"",\\""time\\"":1,\\""distance\\"":20,\\""zOffset\\"":-90,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":50,\\""yaw\\"":0,\\""pitch\\"":0,\\""zOffset\\"":-80,\\""lenth\\"":450,\\""width\\"":100,\\""height\\"":50,\\""damage\\"":100}""]",,,,,,,
砸地突刺,Ground Smash Stab,砸地突刺,,,,,,グラウンドスラム,그라운드 슬램(무술)
"[""装备节点"",""{\\""guid\\"":\\""103072\\"",\\""location\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""SlotType\\"":16}"",""动画节点"",""{\\""guid\\"":\\""119910\\"",\\""totalTime\\"":3.23,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.8}"",""特效节点"",""{\\""guid\\"":\\""168834\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":-80,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":100,\\""yaw\\"":1,\\""pitch\\"":0,\\""zOffset\\"":-30,\\""lenth\\"":1000,\\""width\\"":10,\\""height\\"":100,\\""damage\\"":100}""]",,"[""装备节点"",""{\\""guid\\"":\\""103072\\"",\\""location\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""SlotType\\"":16}"",""动画节点"",""{\\""guid\\"":\\""119910\\"",\\""totalTime\\"":3.23,\\""progress\\"":1,\\""AnimSlot\\"":0}"",""延迟节点"",""{\\""delayTime\\"":0.8}"",""特效节点"",""{\\""guid\\"":\\""168834\\"",\\""time\\"":1,\\""distance\\"":100,\\""zOffset\\"":-80,\\""yaw\\"":0,\\""scale\\"":{\\""x\\"":1,\\""y\\"":1,\\""z\\"":1},\\""rotate\\"":{\\""x\\"":0,\\""y\\"":0,\\""z\\"":0},\\""EffSlot\\"":-1}"",""方盒判定"",""{\\""distance\\"":100,\\""yaw\\"":1,\\""pitch\\"":0,\\""zOffset\\"":-30,\\""lenth\\"":1000,\\""width\\"":10,\\""height\\"":100,\\""damage\\"":100}""]",,,,,,,
镰刀劈砍,Sickle Chop,镰刀劈砍,,,,,,槌鎌,망치와 낫(농촌과 프롤레타리아 노동을 상징하는 소련 국기)
